/Users/zachvp/Music/DJ/Motohiro Kawashima - Streets of Rage 4 - 27 DJ Kwashi.aiff	/Users/zachvp/Music/conversion output/re-encoded/Motohiro Kawashima - Streets of Rage 4 - 27 DJ Kwashi.aiff	0.02
/Users/zachvp/Music/DJ/T.P.O - Hiroshi's Dub (Joe Claussell Bonus Groove).aiff	/Users/zachvp/Music/conversion output/re-encoded/T.P.O - Hiroshi's Dub (Joe Claussell Bonus Groove).aiff	-0.33
/Users/zachvp/Music/DJ/15968018_Lavander_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/15968018_Lavander_(Original_Mix).aiff	-1.99
/Users/zachvp/Music/DJ/04 I Put A Spell On You (Yage Mix Long Version).aiff	/Users/zachvp/Music/conversion output/re-encoded/04 I Put A Spell On You (Yage Mix Long Version).aiff	-0.57
/Users/zachvp/Music/DJ/Sibling, grad_u - Shadows LP (Inc. grad_u Reconstruction) -SKBLK008- - 03 Sibling - Mirage -SKBLK008-.aiff	/Users/zachvp/Music/conversion output/re-encoded/Sibling, grad_u - Shadows LP (Inc. grad_u Reconstruction) -SKBLK008- - 03 Sibling - Mirage -SKBLK008-.aiff	-0.3
/Users/zachvp/Music/DJ/maxtaylor♚ - summer17 - 01 insane☻.aiff	/Users/zachvp/Music/conversion output/re-encoded/maxtaylor♚ - summer17 - 01 insane☻.aiff	-0.75
/Users/zachvp/Music/DJ/Markus Masuhr - The Dub Theory -Chapter Nine- - 07 Echoes Of The Canyons.aiff	/Users/zachvp/Music/conversion output/re-encoded/Markus Masuhr - The Dub Theory -Chapter Nine- - 07 Echoes Of The Canyons.aiff	0.03
/Users/zachvp/Music/DJ/17270143_Escanox_(Original_mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/17270143_Escanox_(Original_mix).aiff	-2.04
/Users/zachvp/Music/DJ/Nico Stojan - Imagination (Original Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Nico Stojan - Imagination (Original Mix).aiff	-0.14
/Users/zachvp/Music/DJ/61800_Welcome_to_the_Factory_feat._Sally_Cortez_(Angel_s_Journey_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/61800_Welcome_to_the_Factory_feat._Sally_Cortez_(Angel_s_Journey_Mix).aiff	-0.38
/Users/zachvp/Music/DJ/03 - Hongkongaton.aiff	/Users/zachvp/Music/conversion output/re-encoded/03 - Hongkongaton.aiff	0.02
/Users/zachvp/Music/DJ/Ernesto Barbaro - Alex Cavallaro - Matrix Bassline.aiff	/Users/zachvp/Music/conversion output/re-encoded/Ernesto Barbaro - Alex Cavallaro - Matrix Bassline.aiff	-0.07
/Users/zachvp/Music/DJ/10712855_Love_on_26_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/10712855_Love_on_26_(Original_Mix).aiff	-0.16
/Users/zachvp/Music/DJ/11994720_Vortex_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/11994720_Vortex_(Original_Mix).aiff	-0.03
/Users/zachvp/Music/DJ/Shubostar - Acuario.aiff	/Users/zachvp/Music/conversion output/re-encoded/Shubostar - Acuario.aiff	-0.07
/Users/zachvp/Music/DJ/DARKSIDE - Psychic (Expanded) - 07 Greek Light.aiff	/Users/zachvp/Music/conversion output/re-encoded/DARKSIDE - Psychic (Expanded) - 07 Greek Light.aiff	-1.09
/Users/zachvp/Music/DJ/Werner Niedermeier - Dubbiz.aiff	/Users/zachvp/Music/conversion output/re-encoded/Werner Niedermeier - Dubbiz.aiff	-0.16
/Users/zachvp/Music/DJ/M.E. - Ride (Remastered).aiff	/Users/zachvp/Music/conversion output/re-encoded/M.E. - Ride (Remastered).aiff	-0.29
